Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,136,170.01582376110343,170.04724545580194,157.93712499809422,157.96103116013305
2018-06,173,167.68321302394764,167.7047791038293,158.23929218335977,158.26601163484818
2018-07,142,166.42368716106796,166.44186868350909,154.4593135201857,154.4718330637245
2018-08,138,149.18291088100275,149.14530045083023,145.9447165152402,145.93825843433493
2018-09,126,174.0427617510589,174.0759421346071,157.93712499471218,157.96103115789614
2018-10,157,171.6183734070504,171.63943693821307,158.23929218335908,158.26601163484818
2018-11,158,170.3096467184664,170.32596081604913,154.4593135201857,154.4718330637245
2018-12,198,152.42080897002748,152.3703651177857,145.9447165152402,145.93825843433493
2019-01,173,178.23014596069862,178.26519617130057,157.93712499471218,157.96103115789614
2019-02,163,175.7088587618133,175.72935948417472,158.23929218335908,158.26601163484818
2019-03,143,174.3482058435936,174.362487835987,154.4593135201857,154.4718330637245
2019-04,118,155.77676736645364,155.71257934397934,145.9447165152402,145.93825843433493
