Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,497,465.2657603682625,469.41390462133586,451.54604261130663,451.54596174273405
2018-06,605,496.91960882266847,502.60818154180316,481.2896545512796,481.2898415401452
2018-07,537,518.0877507031466,517.846607640947,472.4219370487169,472.4220309874655
2018-08,492,498.4753305526254,496.8987740647477,449.7850622422005,449.7849430720266
2018-09,477,474.72845160339983,479.8934308165879,454.5897050898643,454.589620610359
2018-10,376,508.2157649864582,515.2069728328898,484.70443644136134,484.7046389377786
2018-11,480,530.7281625481482,531.5035279694841,475.4994383590515,475.49954057641696
2018-12,493,509.8669987431504,509.1151259916649,452.3428573172487,452.3427328714005
2019-01,368,484.7175773077462,491.0150777469325,457.08124166898995,457.0811541938581
2019-02,375,520.2172109387102,528.6766477191028,487.5021428584264,487.5023582544049
2019-03,391,544.2180521916708,546.155882429977,478.0173122435442,478.01742133428934
2019-04,364,521.9738431566556,522.1590151477479,454.43139237634557,454.43126357056724
