Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3, Forecast_sales_4
2018-05,44,47.2642474364256,47.00217764095196,48.07333595595872,47.70153311974967
2018-06,51,48.94943381944519,48.61256028442657,49.83139967657012,49.320794980398546
2018-07,44,60.52412494334917,60.14739336868138,61.64128008491501,60.97254939524928
2018-08,66,50.07314574060187,50.97938333881211,51.01410669043037,51.74607995715386
2018-09,59,46.72395050308767,46.577333591793895,47.96550259670658,47.599304306714124
2018-10,85,48.387711673548495,48.1682441453899,49.73097747830933,49.22519287082309
2018-11,90,59.81316640462765,59.560055134353796,61.52747461080564,60.859616565583
2018-12,85,49.4970915663088,50.50598924433934,50.931572923015565,51.66452661925736
2019-01,72,46.1905052019524,46.156750606013745,47.896534906514106,47.533915180984046
2019-02,61,47.83314033502878,47.72843417780342,49.66673642683152,49.16403098424797
2019-03,79,59.11147203864623,58.97908048275712,61.45466091488768,60.78736158653983
2019-04,50,48.92838896138136,50.03747286122449,50.87875611652748,51.61233523787156
