Date,Item Code,Item Desc,Category,Quantity,Total
1/1/15,22,PAPAS FRITAS,Fries,51,3099
1/1/15,23,ESPAÑOLAS PICAN,Fries,19,1308
1/1/15,24,PAPAS 4 QUESOS,Fries,60,4860
1/1/15,25,PAPAS RUSTICAS,Fries,48,3768
1/1/15,26,PAPAS BARBACOA,Fries,15,1194
1/1/15,27,SALCHIPAPAS BEL,Fries,63,6399
1/1/15,28,PAPAS CHEDDAR,Fries,122,9706
1/1/15,29,ADICIONAL PANCE,Fries,1,620
1/1/15,31,PANCHO PORTENO,Sausages,1,630
1/1/15,32,PANCHO ALEMAN,Sausages,2,882
1/1/15,33,PANCHO YANKI,Sausages,1,956
1/1/15,34,MILA DE BERENJE,Entries,5,980
1/1/15,40,SALCH ALEMANA,Sausages,18,2340
1/1/15,42,SALCH DIABLO,Sausages,13,1742
1/1/15,45,TABLA BRATWURST,Sausages,7,2720
1/1/15,46,NACHOS,Apetizers,24,1765
1/1/15,49,CHOCOTORTA,Desserts,4,606
1/1/15,50,COPA MELBA,Desserts,10,613
1/1/15,54,RABAS,Apetizers,20,5961
1/1/15,55,RABAS PROV,Apetizers,11,2756
1/1/15,56,RABAS C/SALSAS,Apetizers,4,760
1/1/15,57,TIRITAS POLL,Apetizers,40,3883
1/1/15,58,BRUSQUETAS CRUD,Apetizers,8,845
1/1/15,59,BRUSQUETA HONG,Apetizers,6,595
1/1/15,60,SUPER MILANESA,Entries,9,2270
1/1/15,61,SUPREMA FUGAZE,Entries,2,3945
1/1/15,62,TORTILLA,Entries,10,975
1/1/15,63,TORTILLA ESP,Entries,15,1761
1/1/15,64,WRAP VEGETA,Sandwichs,14,1495
1/1/15,65,WRAP POLLO,Sandwichs,17,2188
1/1/15,66,WRAP CARNE,Sandwichs,9,1213
1/1/15,70,C. MUZZA,Pizzas,10,662
1/1/15,71,C. FUGAZZETA,Pizzas,2,103
1/1/15,72,C. NAPOLITANA,Pizzas,3,223
1/1/15,73,C. CALABRESA,Pizzas,2,196
1/1/15,74,C. ROQUEFORT,Pizzas,2,196
1/1/15,75,C. JAMON,Pizzas,1,99
1/1/15,76,C. PROVOLONE,Pizzas,3,184
1/1/15,77,C. MORRONES,Pizzas,1,60
1/1/15,78,C. CAPRESSE,Pizzas,3,180
1/1/15,79,C. CRUDO RUCULA,Pizzas,2,212
1/1/15,80,C. JAMON Y MORR,Pizzas,2,144
1/1/15,82,TAPEO X2,Tapas,141,29049
1/1/15,90,BONDIOLA NEGRA,Entries,16,2217
1/1/15,150,BAVIERA X 1,Tapas,7,860
1/1/15,151,BAVIERA X 2,Tapas,10,2270
1/1/15,152,COSSAB X 1,Tapas,36,3939
1/1/15,153,COSSAB X 2,Tapas,32,6652
1/1/15,159,QUESOS X 1,Tapas,14,1516
1/1/15,160,QUESOS X 2,Tapas,3,569
1/1/15,170,G. MUZZA,Pizzas,13,1552
1/1/15,171,G. FUGAZZETA,Pizzas,1,137
1/1/15,172,G. NAPOLITANA,Pizzas,4,512
1/1/15,173,G. CALABRESA,Pizzas,2,266
1/1/15,174,G. ROQUEFORT,Pizzas,4,445
1/1/15,175,G. JAMON,Pizzas,4,567
1/1/15,176,G. PROVOLONE,Pizzas,7,921
1/1/15,177,G. MORRONES,Pizzas,2,278
1/1/15,178,G. CAPRESSE,Pizzas,4,498
1/1/15,179,G. CRUDO Y RUCU,Pizzas,12,1913
1/1/15,180,G. JAMON Y MORR,Pizzas,7,980
1/1/15,187,POLLO COSSAB,Sandwichs,14,1399
1/1/15,188,CUADRIL COSSAB,Sandwichs,7,798
1/1/15,189,CUDRIL VIKINGO,Sandwichs,8,1024
1/1/15,190,POLLO BELGA,Sandwichs,10,965
1/1/15,191,SANWUCHE BERNA,Sandwichs,12,1164
1/1/15,226,CUAD. DE MUZZA,Apetizers,40,3786
1/1/15,230,HAMB COSSAB,Hamburgers,21,2163
1/1/15,231,HAMB ARGENTA,Hamburgers,9,900
1/1/15,232,HAMB VIKINGA,Hamburgers,53,5345
1/1/15,233,HAMB NORMANDA,Hamburgers,13,1281
1/1/15,234,HAMB MEXICANA,Hamburgers,17,1633
1/1/15,235,HAMB FRANCESA,Hamburgers,25,2438
1/1/15,236,HAMB ALEMANA,Hamburgers,18,1754
1/1/15,237,HAMB KANGREBURG,Hamburgers,49,4747
1/1/15,238,HAMB BRASILERA,Hamburgers,12,1105
1/1/15,239,HAMB CHARRUA,Hamburgers,11,1161
1/1/15,240,HAMB NORTEAMERI,Hamburgers,77,7821
1/1/15,241,HAMB CALABAZA,Hamburgers,13,1215
1/1/15,242,HAMB SUIZA,Hamburgers,46,4708
1/1/15,243,HAMB LENTEJAS,Hamburgers,11,980
1/1/15,244,HAMB QUINOA,Hamburgers,28,2541
2/1/15,22,PAPAS FRITAS,Fries,46,2861
2/1/15,23,ESPAÑOLAS PICAN,Fries,17,1283
2/1/15,24,PAPAS 4 QUESOS,Fries,53,4386
2/1/15,25,PAPAS RUSTICAS,Fries,48,3764
2/1/15,26,PAPAS BARBACOA,Fries,15,1168
2/1/15,27,SALCHIPAPAS BEL,Fries,52,5515
2/1/15,28,PAPAS CHEDDAR,Fries,104,8374
2/1/15,29,ADICIONAL PANCE,Fries,3,366
2/1/15,31,PANCHO PORTENO,Sausages,2,480
2/1/15,32,PANCHO ALEMAN,Sausages,5,1052
2/1/15,33,PANCHO YANKI,Sausages,6,641
2/1/15,34,MILA DE BERENJE,Entries,14,1708
2/1/15,40,SALCH ALEMANA,Sausages,17,1999
2/1/15,42,SALCH DIABLO,Sausages,8,1005
2/1/15,45,TABLA BRATWURST,Sausages,7,2543
2/1/15,46,NACHOS,Apetizers,22,1695
2/1/15,49,CHOCOTORTA,Desserts,11,974
2/1/15,50,COPA MELBA,Desserts,16,1036
2/1/15,54,RABAS,Apetizers,22,4629
2/1/15,55,RABAS PROV,Apetizers,8,1502
2/1/15,56,RABAS C/SALSAS,Apetizers,4,868
2/1/15,57,TIRITAS POLL,Apetizers,35,4261
2/1/15,58,BRUSQUETAS CRUD,Apetizers,13,1121
2/1/15,59,BRUSQUETA HONG,Apetizers,7,889
2/1/15,60,SUPER MILANESA,Entries,11,2577
2/1/15,61,SUPREMA FUGAZE,Entries,6,1295
2/1/15,62,TORTILLA,Entries,10,1019
2/1/15,63,TORTILLA ESP,Entries,18,2059
2/1/15,64,WRAP VEGETA,Sandwichs,7,898
2/1/15,65,WRAP POLLO,Sandwichs,21,3085
2/1/15,66,WRAP CARNE,Sandwichs,11,1838
2/1/15,70,C. MUZZA,Pizzas,6,448
2/1/15,71,C. FUGAZZETA,Pizzas,1,130
2/1/15,72,C. NAPOLITANA,Pizzas,2,279
2/1/15,73,C. CALABRESA,Pizzas,2,161
2/1/15,74,C. ROQUEFORT,Pizzas,2,135
2/1/15,75,C. JAMON,Pizzas,3,284
2/1/15,76,C. PROVOLONE,Pizzas,2,161
2/1/15,77,C. MORRONES,Pizzas,1,95
2/1/15,78,C. CAPRESSE,Pizzas,2,156
2/1/15,79,C. CRUDO RUCULA,Pizzas,3,263
2/1/15,80,C. JAMON Y MORR,Pizzas,3,264
2/1/15,82,TAPEO X2,Tapas,172,36875
2/1/15,90,BONDIOLA NEGRA,Entries,12,1640
2/1/15,150,BAVIERA X 1,Tapas,10,1129
2/1/15,151,BAVIERA X 2,Tapas,8,1647
2/1/15,152,COSSAB X 1,Tapas,32,3768
2/1/15,153,COSSAB X 2,Tapas,31,6610
2/1/15,159,QUESOS X 1,Tapas,8,866
2/1/15,160,QUESOS X 2,Tapas,4,772
2/1/15,170,G. MUZZA,Pizzas,10,1240
2/1/15,171,G. FUGAZZETA,Pizzas,2,224
2/1/15,172,G. NAPOLITANA,Pizzas,7,919
2/1/15,173,G. CALABRESA,Pizzas,3,418
2/1/15,174,G. ROQUEFORT,Pizzas,2,280
2/1/15,175,G. JAMON,Pizzas,3,305
2/1/15,176,G. PROVOLONE,Pizzas,5,590
2/1/15,177,G. MORRONES,Pizzas,2,207
2/1/15,178,G. CAPRESSE,Pizzas,5,694
2/1/15,179,G. CRUDO Y RUCU,Pizzas,7,1038
