Date,Item Code,Item Desc,Category,Quantity,Total
1/1/17,150,BAVIERA X 1,Tapas,6,750
1/1/17,151,BAVIERA X 2,Tapas,8,1920
1/1/17,59,BRUSQUETA HONG,Apetizers,6,570
1/1/17,58,BRUSQUETAS CRUD,Apetizers,9,720
1/1/17,78,C. CAPRESSE,Pizzas,6,510
1/1/17,79,C. CRUDO RUCULA,Pizzas,2,190
1/1/17,71,C. FUGAZZETA,Pizzas,2,160
1/1/17,75,C. JAMON,Pizzas,2,170
1/1/17,80,C. JAMON Y MORR,Pizzas,2,180
1/1/17,77,C. MORRONES,Pizzas,1,85
1/1/17,70,C. MUZZA,Pizzas,6,420
1/1/17,72,C. NAPOLITANA,Pizzas,3,255
1/1/17,76,C. PROVOLONE,Pizzas,2,180
1/1/17,49,CHOCOTORTA,Desserts,1,75
1/1/17,50,COPA MELBA,Desserts,11,825
1/1/17,152,COSSAB X 1,Tapas,50,6750
1/1/17,153,COSSAB X 2,Tapas,45,11250
1/1/17,226,CUAD. DE MUZZA,Apetizers,26,2600
1/1/17,188,CUADRIL COSSAB,Sandwichs,6,840
1/1/17,189,CUDRIL VIKINGO,Sandwichs,8,1120
1/1/17,23,ESPAÑOLAS PICAN,Fries,30,2550
1/1/17,173,G. CALABRESA,Pizzas,1,150
1/1/17,178,G. CAPRESSE,Pizzas,7,1015
1/1/17,179,G. CRUDO Y RUCU,Pizzas,9,1440
1/1/17,171,G. FUGAZZETA,Pizzas,1,140
1/1/17,175,G. JAMON,Pizzas,2,300
1/1/17,180,G. JAMON Y MORR,Pizzas,11,1870
1/1/17,177,G. MORRONES,Pizzas,3,450
1/1/17,170,G. MUZZA,Pizzas,12,1500
1/1/17,172,G. NAPOLITANA,Pizzas,7,1015
1/1/17,176,G. PROVOLONE,Pizzas,10,1550
1/1/17,174,G. ROQUEFORT,Pizzas,5,750
1/1/17,236,HAMB ALEMANA,Hamburgers,20,2300
1/1/17,231,HAMB ARGENTA,Hamburgers,4,460
1/1/17,238,HAMB BRASILERA,Hamburgers,16,1840
1/1/17,241,HAMB CALABAZA,Hamburgers,14,1400
1/1/17,239,HAMB CHARRUA,Hamburgers,3,345
1/1/17,230,HAMB COSSAB,Hamburgers,25,2875
1/1/17,235,HAMB FRANCESA,Hamburgers,23,2645
1/1/17,237,HAMB KANGREBURG,Hamburgers,52,5980
1/1/17,243,HAMB LENTEJAS,Hamburgers,10,1000
1/1/17,234,HAMB MEXICANA,Hamburgers,16,1840
1/1/17,233,HAMB NORMANDA,Hamburgers,15,1725
1/1/17,240,HAMB NORTEAMERI,Hamburgers,68,7820
1/1/17,244,HAMB QUINOA,Hamburgers,29,2900
