"Date","Item Code","Item Desc","Category","Quantity","Total"
"42736.0","150","BAVIERA X 1","Tapas","6.0","750.0"
"42736.0","151","BAVIERA X 2","Tapas","8.0","1920.0"
"42736.0","59","BRUSQUETA HONG","Apetizers","6.0","570.0"
"42736.0","58","BRUSQUETAS CRUD","Apetizers","9.0","720.0"
"42736.0","78","C. CAPRESSE","Pizzas","6.0","510.0"
"42736.0","79","C. CRUDO RUCULA","Pizzas","2.0","190.0"
"42736.0","71","C. FUGAZZETA","Pizzas","2.0","160.0"
"42736.0","75","C. JAMON","Pizzas","2.0","170.0"
"42736.0","80","C. JAMON Y MORR","Pizzas","2.0","180.0"
"42736.0","77","C. MORRONES","Pizzas","1.0","85.0"
"42736.0","70","C. MUZZA","Pizzas","6.0","420.0"
"42736.0","72","C. NAPOLITANA","Pizzas","3.0","255.0"
"42736.0","76","C. PROVOLONE","Pizzas","2.0","180.0"
"42736.0","49","CHOCOTORTA","Desserts","1.0","75.0"
"42736.0","50","COPA MELBA","Desserts","11.0","825.0"
"42736.0","152","COSSAB X 1","Tapas","50.0","6750.0"
"42736.0","153","COSSAB X 2","Tapas","45.0","11250.0"
"42736.0","226","CUAD. DE MUZZA","Apetizers","26.0","2600.0"
"42736.0","188","CUADRIL COSSAB","Sandwichs","6.0","840.0"
"42736.0","189","CUDRIL VIKINGO","Sandwichs","8.0","1120.0"
"42736.0","23","ESPAÑOLAS PICAN","Fries","30.0","2550.0"
"42736.0","173","G. CALABRESA","Pizzas","1.0","150.0"
"42736.0","178","G. CAPRESSE","Pizzas","7.0","1015.0"
"42736.0","179","G. CRUDO Y RUCU","Pizzas","9.0","1440.0"
"42736.0","171","G. FUGAZZETA","Pizzas","1.0","140.0"
"42736.0","175","G. JAMON","Pizzas","2.0","300.0"
"42736.0","180","G. JAMON Y MORR","Pizzas","11.0","1870.0"
"42736.0","177","G. MORRONES","Pizzas","3.0","450.0"
"42736.0","170","G. MUZZA","Pizzas","12.0","1500.0"
"42736.0","172","G. NAPOLITANA","Pizzas","7.0","1015.0"
"42736.0","176","G. PROVOLONE","Pizzas","10.0","1550.0"
"42736.0","174","G. ROQUEFORT","Pizzas","5.0","750.0"
"42736.0","236","HAMB ALEMANA","Hamburgers","20.0","2300.0"
"42736.0","231","HAMB ARGENTA","Hamburgers","4.0","460.0"
"42736.0","238","HAMB BRASILERA","Hamburgers","16.0","1840.0"
"42736.0","241","HAMB CALABAZA","Hamburgers","14.0","1400.0"
"42736.0","239","HAMB CHARRUA","Hamburgers","3.0","345.0"
"42736.0","230","HAMB COSSAB","Hamburgers","25.0","2875.0"
"42736.0","235","HAMB FRANCESA","Hamburgers","23.0","2645.0"
"42736.0","237","HAMB KANGREBURG","Hamburgers","52.0","5980.0"
"42736.0","243","HAMB LENTEJAS","Hamburgers","10.0","1000.0"
"42736.0","234","HAMB MEXICANA","Hamburgers","16.0","1840.0"
"42736.0","233","HAMB NORMANDA","Hamburgers","15.0","1725.0"
"42736.0","240","HAMB NORTEAMERI","Hamburgers","68.0","7820.0"
"42736.0","244","HAMB QUINOA","Hamburgers","29.0","2900.0"
"42736.0","242","HAMB SUIZA","Hamburgers","30.0","3450.0"
"42736.0","232","HAMB VIKINGA","Hamburgers","38.0","4370.0"
"42736.0","46","NACHOS","Apetizers","33.0","2805.0"
"42736.0","24","PAPAS 4 QUESOS","Fries","68.0","6120.0"
"42736.0","26","PAPAS BARBACOA","Fries","19.0","1710.0"
"42736.0","28","PAPAS CHEDDAR","Fries","134.0","12060.0"
"42736.0","22","PAPAS FRITAS","Fries","58.0","4060.0"
"42736.0","25","PAPAS RUSTICAS","Fries","63.0","5670.0"
"42736.0","190","POLLO BELGA","Sandwichs","13.0","1560.0"
"42736.0","187","POLLO COSSAB","Sandwichs","23.0","2760.0"
"42736.0","159","QUESOS X 1","Tapas","24.0","3120.0"
"42736.0","160","QUESOS X 2","Tapas","6.0","1470.0"
"42736.0","40","SALCH ALEMANA","Sausages","31.0","4185.0"
"42736.0","42","SALCH DIABLO","Sausages","14.0","2030.0"
"42736.0","27","SALCHIPAPAS BEL","Fries","95.0","11875.0"
"42736.0","191","SANWUCHE BERNA","Sandwichs","9.0","1125.0"
"42736.0","60","SUPER MILANESA","Entries","21.0","2625.0"
"42736.0","45","TABLA BRATWURST","Sausages","10.0","3600.0"
"42736.0","82","TAPEO X2","Tapas","180.0","43200.0"
"42736.0","57","TIRITAS POLL","Apetizers","35.0","3500.0"
"42736.0","62","TORTILLA","Entries","6.0","600.0"
"42736.0","63","TORTILLA ESP","Entries","7.0","805.0"
"42767.0","29","ADICIONAL PANCE","Fries","2.0","250.0"
"42767.0","150","BAVIERA X 1","Tapas","11.0","1420.0"
"42767.0","151","BAVIERA X 2","Tapas","11.0","2740.0"
"42767.0","59","BRUSQUETA HONG","Apetizers","10.0","950.0"
"42767.0","58","BRUSQUETAS CRUD","Apetizers","13.0","1040.0"
"42767.0","78","C. CAPRESSE","Pizzas","3.0","255.0"
"42767.0","79","C. CRUDO RUCULA","Pizzas","3.0","285.0"
"42767.0","71","C. FUGAZZETA","Pizzas","1.0","80.0"
"42767.0","75","C. JAMON","Pizzas","2.0","170.0"
"42767.0","80","C. JAMON Y MORR","Pizzas","2.0","180.0"
"42767.0","70","C. MUZZA","Pizzas","4.0","280.0"
"42767.0","72","C. NAPOLITANA","Pizzas","2.0","170.0"
"42767.0","74","C. ROQUEFORT","Pizzas","1.0","85.0"
"42767.0","49","CHOCOTORTA","Desserts","9.0","675.0"
"42767.0","50","COPA MELBA","Desserts","18.0","1350.0"
"42767.0","152","COSSAB X 1","Tapas","44.0","6100.0"
"42767.0","153","COSSAB X 2","Tapas","52.0","13430.0"
"42767.0","226","CUAD. DE MUZZA","Apetizers","25.0","2500.0"
